time,tas,tasmin,tasmax,huss,sfcWind,prtot
1959-01-01,278.3546447753906,275.28363037109375,280.4184265136719,0.004953606519848108,2.0033206939697266,1.1786354662035592e-05
1959-01-02,276.1108703613281,272.560546875,279.09136962890625,0.003981728572398424,2.421912670135498,8.764321137277875e-06
1959-01-03,276.29278564453125,275.63018798828125,277.3265075683594,0.004196677822619677,3.5349745750427246,0.00011858322250191122
1959-01-04,277.3590087890625,275.14166259765625,280.17449951171875,0.004454995971173048,4.803388595581055,7.978105713846162e-05
1959-01-05,275.7325744628906,273.6172180175781,277.61199951171875,0.0039841849356889725,2.130138874053955,1.5513840480707586e-05
1959-01-06,277.43109130859375,274.5734558105469,279.74432373046875,0.00464088236913085,1.4910862445831299,1.9811159290838987e-05
1959-01-07,280.5361328125,278.2345886230469,282.9730529785156,0.005418629851192236,4.288601875305176,8.230156527133659e-05
1959-01-08,276.4305419921875,272.0956115722656,280.32806396484375,0.004010441247373819,4.310500144958496,7.610645843669772e-05
1959-01-09,271.6412658691406,270.1768798828125,273.6468200683594,0.002670212648808956,2.6420931816101074,5.171280008653412e-07
1959-01-10,271.3750305175781,269.022705078125,273.5010681152344,0.0026525254361331463,2.5020649433135986,3.287383833594504e-06
1959-01-11,269.2493896484375,267.3550720214844,271.2048034667969,0.0022727304603904486,1.5649980306625366,7.454343631252414e-07
1959-01-12,269.8081359863281,267.31402587890625,273.3084716796875,0.0023643258027732372,2.121718406677246,4.906087269773707e-06
1959-01-13,271.9097595214844,267.55340576171875,275.7933654785156,0.002773280953988433,1.5015455484390259,1.55012924096809e-06
1959-01-14,278.54400634765625,275.1906433105469,281.9914855957031,0.004853205755352974,1.8971223831176758,7.190299947978929e-05
1959-01-15,278.6955261230469,276.89306640625,281.4236755371094,0.005119011737406254,2.4888954162597656,7.953721797093749e-05
1959-01-16,275.2076416015625,271.21923828125,278.02227783203125,0.0035871672444045544,4.634387016296387,7.623844430781901e-05
1959-01-17,272.5954284667969,269.58941650390625,275.92010498046875,0.0024513329844921827,2.196303606033325,3.3830497159215156e-07
1959-01-18,275.4820556640625,270.945068359375,279.2319641113281,0.0031156851910054684,1.2645957469940186,1.2894421388409683e-06
1959-01-19,279.5726013183594,276.2006530761719,282.10015869140625,0.004772908985614777,2.534592866897583,6.392182058334583e-06
1959-01-20,282.5662841796875,279.6636047363281,284.9823913574219,0.005491473712027073,4.196436405181885,1.9515962776495144e-05
1959-01-21,280.2400207519531,277.61328125,283.12115478515625,0.005552113521844149,1.9521732330322266,3.3922860893653706e-05
1959-01-22,281.5140686035156,279.33319091796875,284.24072265625,0.005703721661120653,2.465369701385498,8.701271667632682e-07
1959-01-23,281.3933410644531,278.59869384765625,284.947509765625,0.005734175909310579,1.4562709331512451,6.345592737488914e-06
1959-01-24,280.55999755859375,276.99774169921875,284.93414306640625,0.005432597361505032,1.8741964101791382,9.743396134354043e-08
1959-01-25,278.1181640625,274.87469482421875,281.4344482421875,0.0039132824167609215,2.4171831607818604,1.4456044539201685e-07
1959-01-26,276.91949462890625,272.3492736816406,281.59320068359375,0.003071016166359186,2.683727264404297,0.0
1959-01-27,279.169921875,275.57220458984375,283.915771484375,0.004538306966423988,1.9537732601165771,0.0
1959-01-28,278.1062927246094,274.6746826171875,282.5242614746094,0.004499281756579876,1.6467937231063843,0.0
1959-01-29,278.3748474121094,274.63623046875,283.4120788574219,0.004466998390853405,0.8304073810577393,0.0
1959-01-30,277.18072509765625,273.0631103515625,282.1038818359375,0.004165302496403456,0.6716705560684204,0.0
1959-01-31,276.33819580078125,273.6329040527344,279.2535400390625,0.004195854067802429,0.6999938488006592,0.0
1959-02-01,274.84033203125,271.24505615234375,277.18023681640625,0.0033797998912632465,2.952360153198242,3.8705664451299526e-07
1959-02-02,270.98773193359375,269.27447509765625,273.0052185058594,0.0026110634207725525,1.7541146278381348,1.4421662854147144e-05
1959-02-03,272.1779479980469,269.30584716796875,275.0257263183594,0.0033390626776963472,2.0551836490631104,0.00020877455244772136
1959-02-04,276.9697570800781,274.70556640625,278.4007568359375,0.004701179452240467,2.073882579803467,0.00025443005142733455
1959-02-05,278.7734375,276.317138671875,281.27862548828125,0.0051180534064769745,1.7444372177124023,7.66900775488466e-05
1959-02-06,279.334228515625,275.53564453125,283.4205017089844,0.0051429616287350655,1.0620678663253784,1.5423293007188477e-05
1959-02-07,279.7998352050781,277.1795654296875,281.7878723144531,0.005497605539858341,1.930952787399292,5.3598319937009364e-05
1959-02-08,280.4608154296875,278.10009765625,283.2054748535156,0.0055468278005719185,1.853136420249939,5.03889677929692e-05
1959-02-09,279.75262451171875,276.13427734375,284.0399169921875,0.005046029109507799,1.056870698928833,4.155762326263357e-06
1959-02-10,277.7989196777344,275.0999450683594,280.7421569824219,0.004824944771826267,1.202731966972351,1.8628434190759435e-05
1959-02-11,276.9649963378906,274.7045593261719,279.6766662597656,0.0046168481931090355,0.7502566576004028,1.755792800395284e-05
1959-02-12,277.3257751464844,274.0084228515625,281.6429443359375,0.004289890173822641,1.2717944383621216,8.241897376137786e-06
1959-02-13,278.24810791015625,274.5701904296875,283.0341491699219,0.00439194543287158,1.5723118782043457,1.0293946616002358e-05
1959-02-14,278.58172607421875,274.6549072265625,283.99884033203125,0.004487229511141777,0.9565302729606628,1.3858678471478925e-07
1959-02-15,278.0594482421875,273.06280517578125,283.52349853515625,0.003841322846710682,0.9636628031730652,0.0
1959-02-16,278.6385192871094,272.95623779296875,285.010009765625,0.0035386227536946535,1.3329359292984009,0.0
