time,tas,tasmin,tasmax,huss,sfcWind,prtot
1971-01-01,274.7851867675781,269.1095886230469,277.809814453125,0.0036389711312949657,4.0234222412109375,3.922385803889483e-05
1971-01-02,270.15472412109375,267.27105712890625,274.1358337402344,0.0025067778769880533,3.4991776943206787,9.043807835951156e-08
1971-01-03,269.3910217285156,266.441162109375,273.5059814453125,0.00236159167252481,2.6927857398986816,8.224913727872263e-08
1971-01-04,272.829345703125,268.2373046875,277.2334289550781,0.00338710262440145,4.378087997436523,5.7902430853573605e-05
1971-01-05,275.599609375,271.6030578613281,279.0828857421875,0.004100988153368235,6.80639123916626,0.00013378786388784647
1971-01-06,270.85809326171875,269.0589294433594,272.99041748046875,0.002577879000455141,5.864867210388184,3.749887127924012e-06
1971-01-07,274.7911682128906,269.83935546875,278.69439697265625,0.004356489051133394,2.8353657722473145,4.654196891351603e-05
1971-01-08,278.934326171875,276.9078674316406,280.9066162109375,0.005539099685847759,5.3915205001831055,1.637534842302557e-05
1971-01-09,277.37969970703125,274.7100830078125,280.5982971191406,0.004708745516836643,1.6654787063598633,1.525686002423754e-06
1971-01-10,277.2823181152344,274.76190185546875,280.0198669433594,0.004720743279904127,3.047961711883545,3.867368650389835e-05
1971-01-11,276.0910949707031,273.0771789550781,279.0870361328125,0.004170134197920561,3.9157323837280273,3.2108044251799583e-05
1971-01-12,275.82562255859375,273.0688171386719,279.46087646484375,0.0037904069758951664,2.933138847351074,1.395375238644192e-05
1971-01-13,277.69482421875,275.43121337890625,279.93438720703125,0.0048508839681744576,5.706149101257324,9.443293674848974e-05
1971-01-14,276.885009765625,274.587646484375,279.1907653808594,0.004489688668400049,2.7049670219421387,4.100400110473856e-05
1971-01-15,276.3677673339844,274.4142150878906,278.5144958496094,0.004469680599868298,5.08953857421875,6.460699660237879e-05
1971-01-16,275.42303466796875,272.64300537109375,278.37109375,0.0038975286297500134,4.930692672729492,1.704467649688013e-05
1971-01-17,275.4802551269531,272.7763366699219,278.6029357910156,0.00396503321826458,3.425480365753174,6.642525022471091e-06
1971-01-18,280.43157958984375,275.98712158203125,283.1751708984375,0.006141622085124254,6.01628303527832,7.239748811116442e-05
1971-01-19,282.4345397949219,279.5382080078125,285.19293212890625,0.006160949356853962,7.564491271972656,5.49071301065851e-05
1971-01-20,279.58575439453125,277.6549377441406,281.7159118652344,0.00476814154535532,3.6544623374938965,8.70169242261909e-06
1971-01-21,279.86822509765625,277.4153747558594,282.524169921875,0.005441426765173674,3.01875638961792,3.3185231586685404e-05
1971-01-22,277.12237548828125,274.8967590332031,279.5093994140625,0.0044389041140675545,5.39835262298584,2.8241407562745735e-05
1971-01-23,279.3131103515625,275.11456298828125,282.4292297363281,0.005966377444565296,5.5891876220703125,0.00010997540084645152
1971-01-24,280.90570068359375,277.4480895996094,283.2669677734375,0.005796438083052635,5.97145938873291,3.136050145258196e-05
1971-01-25,278.5833435058594,274.7677001953125,281.8937683105469,0.004790525417774916,4.875195026397705,7.958788955875207e-06
1971-01-26,275.01959228515625,270.51416015625,279.50616455078125,0.0031667123548686504,2.16213321685791,8.232992740886402e-07
1971-01-27,274.5450744628906,269.88055419921875,279.91778564453125,0.0032974842470139265,2.26507568359375,7.007539579717559e-07
1971-01-28,277.0586853027344,273.264892578125,280.05377197265625,0.004293564707040787,5.126049995422363,1.9552233425201848e-05
1971-01-29,273.0921325683594,269.00115966796875,277.5040283203125,0.0028422847390174866,2.601248264312744,6.325814752017322e-07
1971-01-30,272.80548095703125,268.8680419921875,278.42803955078125,0.0029115232173353434,2.6527700424194336,1.271232719091131e-07
1971-01-31,276.0831604003906,271.01995849609375,280.4478454589844,0.004145772662013769,3.8336434364318848,4.803420597454533e-05
1971-02-01,282.9847717285156,279.382080078125,286.8990173339844,0.006409788969904184,5.594454765319824,5.580150900641456e-05
1971-02-02,280.66571044921875,276.4278869628906,285.0636901855469,0.004249353893101215,4.221060752868652,8.966073437477462e-06
1971-02-03,279.6878662109375,275.92608642578125,283.5621337890625,0.0048667010851204395,4.808180809020996,5.651175797538599e-06
1971-02-04,279.5049743652344,276.00494384765625,283.35943603515625,0.005057214759290218,3.007260799407959,1.1987543757641106e-06
1971-02-05,278.90997314453125,275.2559814453125,283.3455505371094,0.004900082945823669,2.742414951324463,1.2621188716366305e-06
1971-02-06,278.37274169921875,274.3222351074219,283.1284484863281,0.004608717281371355,2.2557334899902344,1.2690022686001612e-06
1971-02-07,277.8355712890625,273.3884582519531,282.911376953125,0.004317351616919041,2.5957536697387695,1.2758854381900164e-06
1971-02-08,276.4059143066406,272.47698974609375,281.14678955078125,0.003806433640420437,4.540590286254883,3.295532678748714e-06
1971-02-09,276.1967468261719,271.62591552734375,281.6474304199219,0.003928613383322954,3.985076427459717,1.0152448339795228e-06
1971-02-10,277.49542236328125,274.8094177246094,281.2276916503906,0.004155902191996574,7.209078788757324,7.218549399112817e-06
1971-02-11,279.4504089355469,276.4244079589844,283.7469787597656,0.005002488382160664,4.742334365844727,1.2972006516065449e-05
1971-02-12,281.13067626953125,277.6634521484375,286.6855773925781,0.005482824519276619,5.148028373718262,1.3969979590910953e-06
1971-02-13,280.9302978515625,278.28167724609375,284.5880432128906,0.005366502329707146,6.142356872558594,3.4577687983983196e-06
1971-02-14,280.5853576660156,277.8289794921875,284.72735595703125,0.005510903894901276,4.080979824066162,1.5156681456574006e-06
1971-02-15,280.473876953125,278.2251892089844,284.2127685546875,0.005151752382516861,7.312119007110596,2.108367880282458e-06
